1	266160
2	130299
3	113158
4	106389
5	99963
6	92205
7	85049
8	77511
9	70800
10	63575
11	56806
12	51036
13	45438
14	40059
15	35650
16	31562
17	27937
18	24352
19	21251
20	18627
21	16226
22	14414
23	12399
24	10779
25	9307
26	8118
27	6993
28	6076
29	5387
30	4498
31	3879
32	3481
33	3016
34	2571
35	2228
36	1991
37	1718
38	1529
39	1264
40	1092
41	935
42	846
43	738
44	578
45	568
46	489
47	404
48	359
49	306
50	293
51	227
52	198
53	207
54	156
55	132
56	126
57	100
58	98
59	94
60	47
61	72
62	57
63	46
64	40
65	50
66	36
67	19
68	24
69	18
70	19
71	12
72	14
73	13
74	15
75	12
76	8
77	8
78	4
79	6
80	4
81	0
82	5
83	2
84	4
85	1
86	4
87	5
88	0
89	0
90	0
91	0
92	1
93	0
94	1
95	1
96	0
97	1
98	0
99	1
100	0
101	0
102	0
103	1
104	2
105	0
106	1
107	1
108	0
109	1
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	1
