reads_in_population	population_count
1	227
2	99
3	96
4	73
5	86
6	95
7	75
8	59
9	73
10	55
11	38
12	45
13	26
14	36
15	22
16	29
17	32
18	15
19	17
20	11
21	14
22	12
23	10
24	13
25	6
26	10
27	7
28	4
29	5
30	3
31	5
32	3
33	5
34	2
35	1
36	2
37	1
38	0
39	0
40	0
41	0
42	1
43	4
44	1
45	1
46	0
47	0
48	1
49	1
